Speaker_1,Speaker_2,Pair_Count
Males_S29,Males_S42,1
Males_NS242,Males_S29,1
Females_S11,Males_S29,1
Males_NS245,Males_S29,1
Males_NS229,Males_S29,1
Males_S29,Males_S46,1
Males_S29,Males_S94,1
Males_NS202,Males_S29,1
Males_NS28,Males_S29,1
Males_NS155,Males_S29,1
Females_S42,Males_S29,1
Males_S138,Males_S29,1
Males_S110,Males_S29,1
Females_S62,Males_S29,1
Males_S105,Males_S29,1
Males_NS212,Males_S29,1
Males_NS15,Males_S29,1
Males_S29,Males_S53,1
Males_NS29,Males_S29,1
Females_NS19,Males_S29,1
Females_NS6,Males_S29,1
Males_S29,Males_S41,1
Females_S104,Males_S29,1
Males_S28,Males_S29,1
Males_S29,Males_S95,1
Females_S19,Males_S29,1
Males_NS231,Males_S29,1
Females_NS20,Males_S29,1
Males_NS257,Males_S29,1
Females_S51,Males_S29,1
Males_S29,Males_S76,1
Males_NS39,Males_S29,1
Males_S24,Males_S29,1
Males_NS217,Males_S29,1
Males_NS151,Males_S29,1
Males_NS232,Males_S29,1
Females_S105,Males_S29,1
Males_S29,Males_S88,1
Females_NS16,Males_S29,1
Males_S133,Males_S29,1
Males_S116,Males_S29,1
Males_S29,Males_S83,1
Females_S17,Males_S29,1
Females_S107,Males_S29,1
Males_S29,Males_S73,1
Males_S29,Males_S57,1
Males_S20,Males_S29,1
Males_NS32,Males_S29,1
Males_S146,Males_S42,1
Males_NS219,Males_S42,1
Males_NS156,Males_S42,1
Males_NS30,Males_S42,1
Males_S30,Males_S42,1
Males_NS214,Males_S42,1
Males_S22,Males_S42,1
Females_S6,Males_S42,1
Males_S42,Males_S82,1
Females_S67,Males_S42,1
Males_S42,Males_S65,1
Males_S42,Males_S48,1
Males_S33,Males_S42,1
Males_S42,Males_S67,1
Males_S42,Males_S7,1
Females_S36,Males_S42,1
Males_NS227,Males_S42,1
Females_S23,Males_S42,1
Males_S148,Males_S42,1
Females_S52,Males_S42,1
Males_S142,Males_S42,1
Males_NS14,Males_S42,1
Males_S42,Males_S72,1
Females_S44,Males_S42,1
Females_S78,Males_S42,1
Males_NS25,Males_S42,1
Males_S42,Males_S61,1
Females_S125,Males_S42,1
Females_S29,Males_S42,1
Males_NS253,Males_S42,1
Males_S42,Males_S54,1
Males_NS251,Males_S42,1
Males_S42,Males_S45,1
Females_S70,Males_S42,1
Females_S110,Males_S42,1
Males_NS241,Males_S42,1
Males_S144,Males_S42,1
Males_NS45,Males_S42,1
Females_S41,Males_S42,1
Females_NS14,Males_S42,1
Males_S154,Males_S42,1
Males_S153,Males_S42,1
Males_S42,Males_S87,1
Males_NS205,Males_S42,1
Males_S151,Males_S42,1
Males_NS27,Males_S42,1
Males_NS52,Males_S42,1
Males_NS236,Males_S42,1
Females_S4,Males_NS242,1
Males_NS10,Males_NS242,1
Males_NS242,Males_S135,1
Females_NS2,Males_NS242,1
Males_NS242,Males_NS263,1
Males_NS230,Males_NS242,1
Males_NS242,Males_S134,1
Females_S38,Males_NS242,1
Males_NS242,Males_S16,1
Males_NS242,Males_S118,1
Males_NS242,Males_S150,1
Males_NS242,Males_NS46,1
Females_S27,Males_NS242,1
Males_NS242,Males_NS6,1
Males_NS242,Males_S68,1
Males_NS242,Males_S5,1
Females_S109,Males_NS242,1
Males_NS242,Males_S91,1
Males_NS242,Males_S93,1
Males_NS242,Males_S36,1
Males_NS225,Males_NS242,1
Males_NS242,Males_S43,1
Females_S3,Males_NS242,1
Males_NS242,Males_NS255,1
Males_NS228,Males_NS242,1
Males_NS242,Males_S81,1
Males_NS242,Males_S107,1
Males_NS1,Males_NS242,1
Males_NS242,Males_NS31,1
Males_NS242,Males_NS7,1
Males_NS242,Males_S50,1
Males_NS242,Males_S351,1
Females_S111,Males_NS242,1
Males_NS242,Males_NS26,1
Males_NS23,Males_NS242,1
Males_NS237,Males_NS242,1
Females_S72,Males_NS242,1
Males_NS242,Males_NS259,1
Males_NS242,Males_S52,1
Females_NS5,Males_NS242,1
Females_S30,Males_NS242,1
Females_S31,Males_NS242,1
Males_NS242,Males_NS8,1
Males_NS242,Males_S56,1
Males_NS242,Males_NS261,1
Males_NS242,Males_NS246,1
Males_NS242,Males_NS262,1
Males_NS210,Males_NS242,1
Females_S11,Males_NS2,1
Females_S11,Females_S75,1
Females_S11,Males_NS247,1
Females_S11,Males_S125,1
Females_S11,Males_NS41,1
Females_S11,Males_S9,1
Females_S11,Males_NS206,1
Females_S11,Males_S103,1
Females_S11,Males_NS17,1
Females_S11,Males_S15,1
Females_S11,Males_NS13,1
Females_S11,Males_S66,1
Females_S11,Males_S74,1
Females_S11,Males_S106,1
Females_S11,Males_S100,1
