Speaker_1,Speaker_2,Utterance_1,Utterance_2,Gender_1,Gender_2,Session_1,Session_2,SubCategory_1,SubCategory_2,Recording_Type_1,Recording_Type_2
Males_S29,Males_S42,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S42/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,1.SAAB_sentences_1,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS242,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS242/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,1.SAAB_sentences_2,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Females_S11,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Females/Session_2/S11/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Females,Session_1,Session_2,10.Questions_1,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS245,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS245/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,10.Questions_2,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS229,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS229/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,2.Fixed_Sentences,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_S46,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S46/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,3.Numbers,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_S94,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S94/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,4.Common_Words_1,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS202,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS202/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,4.Common_Words_2,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS28,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS28/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,5.Rich_Words_1,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_NS155,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/NS155/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac,Males,Males,Session_1,Session_1,5.Rich_Words_2,1.SAAB_sentences_1,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Females_S42,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Females/Session_2/S42/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Females,Session_1,Session_2,6.Paragraph_1,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_S138,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S138/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,6.Paragraph_2,6.Paragraph_2,Yamaha_Mixer,Yamaha_Mixer
Males_S29,Males_S110,/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S29/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac,/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S110/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,Males,Males,Session_1,Session_2,7.Phonetic_Distinctive_Words_1,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,Yamaha_Mixer
