Gender,Session,Speaker,SubCategory,Recording_Type,Utterance_Path
Females,Session_1,NS1,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,NS1,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,NS1,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,NS1,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,NS1,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,NS1,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,NS1,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS1,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS1,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS1,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS1,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,NS1,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,NS1,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS1,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS1,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,NS1,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS1/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,S1,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,S1,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,S1,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,S1,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,S1,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,S1,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,S1,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,S1,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,S1,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,S1,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,S1,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,S1,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,S1,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
